,taps,spoint,dips,sdips,beeps,sbeeps,spointless,time_concert
2021-10-26 19:14:07.700000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161700.0
2021-10-26 19:14:07.720000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161720.0
2021-10-26 19:14:07.740000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161740.0
2021-10-26 19:14:07.760000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161760.0
2021-10-26 19:14:07.780000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161780.0
2021-10-26 19:14:07.800000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161800.0
2021-10-26 19:14:07.820000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161820.0
2021-10-26 19:14:07.840000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161840.0
2021-10-26 19:14:07.860000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161860.0
2021-10-26 19:14:07.880000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161880.0
2021-10-26 19:14:07.900000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161900.0
2021-10-26 19:14:07.920000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161920.0
2021-10-26 19:14:07.940000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161940.0
2021-10-26 19:14:07.960000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161960.0
2021-10-26 19:14:07.980000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5161980.0
2021-10-26 19:14:08+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162000.0
2021-10-26 19:14:08.020000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162020.0
2021-10-26 19:14:08.040000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162040.0
2021-10-26 19:14:08.060000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162060.0
2021-10-26 19:14:08.080000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162080.0
2021-10-26 19:14:08.100000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162100.0
2021-10-26 19:14:08.120000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162120.0
2021-10-26 19:14:08.140000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162140.0
2021-10-26 19:14:08.160000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162160.0
2021-10-26 19:14:08.180000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162180.0
2021-10-26 19:14:08.200000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162200.0
2021-10-26 19:14:08.220000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162220.0
2021-10-26 19:14:08.240000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162240.0
2021-10-26 19:14:08.260000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162260.0
2021-10-26 19:14:08.280000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162280.0
2021-10-26 19:14:08.300000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162300.0
2021-10-26 19:14:08.320000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162320.0
2021-10-26 19:14:08.340000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,5162340.0
