,taps,spoint,dips,sdips,beeps,sbeeps,spointless,time_concert,time
2021-10-26 17:47:42.040000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23960.0,2021-10-26 17:47:42.040000+00:00
2021-10-26 17:47:42.060000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23940.0,2021-10-26 17:47:42.060000+00:00
2021-10-26 17:47:42.080000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23920.0,2021-10-26 17:47:42.080000+00:00
2021-10-26 17:47:42.100000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23900.0,2021-10-26 17:47:42.100000+00:00
2021-10-26 17:47:42.120000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23880.0,2021-10-26 17:47:42.120000+00:00
2021-10-26 17:47:42.140000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23860.0,2021-10-26 17:47:42.140000+00:00
2021-10-26 17:47:42.160000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23840.0,2021-10-26 17:47:42.160000+00:00
2021-10-26 17:47:42.180000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23820.0,2021-10-26 17:47:42.180000+00:00
2021-10-26 17:47:42.200000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23800.0,2021-10-26 17:47:42.200000+00:00
2021-10-26 17:47:42.220000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23780.0,2021-10-26 17:47:42.220000+00:00
2021-10-26 17:47:42.240000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23760.0,2021-10-26 17:47:42.240000+00:00
2021-10-26 17:47:42.260000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23740.0,2021-10-26 17:47:42.260000+00:00
2021-10-26 17:47:42.280000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23720.0,2021-10-26 17:47:42.280000+00:00
2021-10-26 17:47:42.300000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23700.0,2021-10-26 17:47:42.300000+00:00
2021-10-26 17:47:42.320000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23680.0,2021-10-26 17:47:42.320000+00:00
2021-10-26 17:47:42.340000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23660.0,2021-10-26 17:47:42.340000+00:00
2021-10-26 17:47:42.360000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23640.0,2021-10-26 17:47:42.360000+00:00
2021-10-26 17:47:42.380000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23620.0,2021-10-26 17:47:42.380000+00:00
2021-10-26 17:47:42.400000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23600.0,2021-10-26 17:47:42.400000+00:00
2021-10-26 17:47:42.420000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23580.0,2021-10-26 17:47:42.420000+00:00
2021-10-26 17:47:42.440000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23560.0,2021-10-26 17:47:42.440000+00:00
2021-10-26 17:47:42.460000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23540.0,2021-10-26 17:47:42.460000+00:00
2021-10-26 17:47:42.480000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23520.0,2021-10-26 17:47:42.480000+00:00
2021-10-26 17:47:42.500000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23500.0,2021-10-26 17:47:42.500000+00:00
2021-10-26 17:47:42.520000+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,-23480.0,2021-10-26 17:47:42.520000+00:00
